date_created,company_name,company_number,status,cohort,postcode,company_type,sic_codes,registered_office
1984-10-24,BUILDINGS AND TANKS LIMITED,NI017900,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,25290,"{'address_line_1': '43 Kerr Street', 'address_line_2': 'Portrush', 'locality': 'Co. Antrim', 'postal_code': 'BT56 8DQ'}"
1984-10-17,KWIK FIT (NI) LIMITED,NI017868,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': '1 Balloo Park', 'address_line_2': 'South Circular Road', 'locality': 'Bangor', 'postal_code': 'BT19 7PP', 'region': 'County Down'}"
1984-10-17,KWIK FIT (NI) LIMITED,NI017868,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': '1 Balloo Park', 'address_line_2': 'South Circular Road', 'locality': 'Bangor', 'postal_code': 'BT19 7PP', 'region': 'County Down'}"
1984-10-03,PLANNED MEDIA COMMUNICATIONS LIMITED,NI017846,liquidation,Wincham – Greenfield Farm,CW12 4TR,ltd,,"{'address_line_1': '1 Columba Terrace', 'address_line_2': 'Londonderry', 'locality': 'Co Londonderry', 'postal_code': 'BT47 1JT'}"
1984-10-03,PLANNED MEDIA COMMUNICATIONS LIMITED,NI017846,liquidation,Adrem – Albert Chambers,CW12 4AA,ltd,,"{'address_line_1': '1 Columba Terrace', 'address_line_2': 'Londonderry', 'locality': 'Co Londonderry', 'postal_code': 'BT47 1JT'}"
1984-06-21,NORTHERN IRELAND ASSOCIATION OF CITIZENS ADVICE BUREAUX LIMITED - THE,NI017574,dissolved,Wincham – Greenfield Farm,CW12 4TR,private-limited-guarant-nsc,94990,"{'address_line_1': '46 Donegall Pass', 'address_line_2': 'Belfast', 'postal_code': 'BT7 1BS'}"
1984-06-21,NORTHERN IRELAND ASSOCIATION OF CITIZENS ADVICE BUREAUX LIMITED - THE,NI017574,dissolved,Adrem – Albert Chambers,CW12 4AA,private-limited-guarant-nsc,94990,"{'address_line_1': '46 Donegall Pass', 'address_line_2': 'Belfast', 'postal_code': 'BT7 1BS'}"
1984-05-11,ANDRONICS COMMUNICATIONS LTD,NI017460,liquidation,Wincham – Greenfield Farm,CW12 4TR,ltd,,"{'address_line_1': '20d Balliniska Road', 'locality': 'Derry', 'postal_code': 'BT48 0LY', 'region': 'Londonderry'}"
1984-05-11,ANDRONICS COMMUNICATIONS LTD,NI017460,liquidation,Adrem – Albert Chambers,CW12 4AA,ltd,,"{'address_line_1': '20d Balliniska Road', 'locality': 'Derry', 'postal_code': 'BT48 0LY', 'region': 'Londonderry'}"
1984-04-30,PARAGON TILES LIMITED,NI017448,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,46760,"{'address_line_1': 'Centrepoint', 'address_line_2': '24 Ormeau Avenue', 'locality': 'Belfast', 'postal_code': 'BT2 8HS'}"
1984-04-30,PARAGON TILES LIMITED,NI017448,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,46760,"{'address_line_1': 'Centrepoint', 'address_line_2': '24 Ormeau Avenue', 'locality': 'Belfast', 'postal_code': 'BT2 8HS'}"
1984-03-15,STARDUST AMUSEMENTS,NI017348,dissolved,Wincham – Greenfield Farm,CW12 4TR,private-unlimited,77390,"{'address_line_1': '107 Lisnevenagh Road', 'locality': 'Ballymena', 'postal_code': 'BT42 2LN', 'region': 'Co Antrim'}"
1984-03-15,STARDUST AMUSEMENTS,NI017348,dissolved,Adrem – Albert Chambers,CW12 4AA,private-unlimited,77390,"{'address_line_1': '107 Lisnevenagh Road', 'locality': 'Ballymena', 'postal_code': 'BT42 2LN', 'region': 'Co Antrim'}"
1983-11-07,P.M.R. ENGINEERING LIMITED,NI017033,liquidation,Wincham – Greenfield Farm,CW12 4TR,ltd,,"{'address_line_1': 'Mcclure Watters', 'address_line_2': 'Thomas House', 'locality': '14-16 James Street South', 'postal_code': 'BT2 7GA', 'region': 'Belfast'}"
1983-11-07,P.M.R. ENGINEERING LIMITED,NI017033,liquidation,Adrem – Albert Chambers,CW12 4AA,ltd,,"{'address_line_1': 'Mcclure Watters', 'address_line_2': 'Thomas House', 'locality': '14-16 James Street South', 'postal_code': 'BT2 7GA', 'region': 'Belfast'}"
1983-10-13,VOLUNTARY YOUTH NETWORK FOR NORTHERN IRELAND,NI016988,dissolved,Wincham – Greenfield Farm,CW12 4TR,private-limited-guarant-nsc-limited-exemption,94990,"{'address_line_1': '32 Shandon Drive', 'locality': 'Bangor', 'postal_code': 'BT20 5HR', 'region': 'Co Down'}"
1983-10-13,VOLUNTARY YOUTH NETWORK FOR NORTHERN IRELAND,NI016988,dissolved,Adrem – Albert Chambers,CW12 4AA,private-limited-guarant-nsc-limited-exemption,94990,"{'address_line_1': '32 Shandon Drive', 'locality': 'Bangor', 'postal_code': 'BT20 5HR', 'region': 'Co Down'}"
1983-10-05,DUNBIA (NORTHERN IRELAND),NI016970,dissolved,Wincham – Greenfield Farm,CW12 4TR,private-unlimited,10110,"{'address_line_1': 'Granville Industrial Estate', 'address_line_2': 'Dungannon', 'locality': 'Co Tyrone', 'postal_code': 'BT70 1NJ'}"
1983-10-05,DUNBIA (NORTHERN IRELAND),NI016970,dissolved,Adrem – Albert Chambers,CW12 4AA,private-unlimited,10110,"{'address_line_1': 'Granville Industrial Estate', 'address_line_2': 'Dungannon', 'locality': 'Co Tyrone', 'postal_code': 'BT70 1NJ'}"
1983-09-06,SION MILLS CONTRACTORS LIMITED,NI016906,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,96090,"{'address_line_1': '52 Primrose Pk', 'address_line_2': 'Sion Mills Strabane', 'locality': 'Strabane', 'postal_code': 'BT82 9QY', 'region': 'Co Tyrone'}"
1983-09-06,SION MILLS CONTRACTORS LIMITED,NI016906,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,96090,"{'address_line_1': '52 Primrose Pk', 'address_line_2': 'Sion Mills Strabane', 'locality': 'Strabane', 'postal_code': 'BT82 9QY', 'region': 'Co Tyrone'}"
1983-08-26,MCMULLEN ARCHITECTURAL SYSTEMS LIMITED,NI016891,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,25110 | 25120,"{'address_line_1': 'C/O Pricewaterhousecoopers Llp Waterfront Plaza', 'address_line_2': '8 Laganbank Road', 'locality': 'Belfast', 'postal_code': 'BT1 3LR'}"
1983-08-26,MCMULLEN ARCHITECTURAL SYSTEMS LIMITED,NI016891,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,25110 | 25120,"{'address_line_1': 'C/O Pricewaterhousecoopers Llp Waterfront Plaza', 'address_line_2': '8 Laganbank Road', 'locality': 'Belfast', 'postal_code': 'BT1 3LR'}"
1983-08-05,SAINTFIELD YARNS LIMITED,NI016860,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,,"{'address_line_1': 'C/O Pricewaterhousecoopers Llp', 'address_line_2': 'Waterfront Plaza', 'locality': '8 Laganbank Road', 'postal_code': 'BT1 3LR', 'region': 'Belfast'}"
1983-08-05,SAINTFIELD YARNS LIMITED,NI016860,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,,"{'address_line_1': 'C/O Pricewaterhousecoopers Llp', 'address_line_2': 'Waterfront Plaza', 'locality': '8 Laganbank Road', 'postal_code': 'BT1 3LR', 'region': 'Belfast'}"
1983-03-14,A.S.K. ELECTRICAL LIMITED,NI016498,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,4531,"{'address_line_1': '3 Wellington Park', 'address_line_2': 'Malone Road', 'locality': 'Belfast', 'postal_code': 'BT9 6DJ'}"
1983-03-14,A.S.K. ELECTRICAL LIMITED,NI016498,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,4531,"{'address_line_1': '3 Wellington Park', 'address_line_2': 'Malone Road', 'locality': 'Belfast', 'postal_code': 'BT9 6DJ'}"
1983-01-06,YOUTH FASHIONS LIMITED,NI016353,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,47710,"{'address_line_1': 'C/O Grant Thornton (Ni) Llp', 'address_line_2': '12-15 Donegall Square West', 'locality': 'Belfast', 'postal_code': 'BT1 6JH'}"
1983-01-06,YOUTH FASHIONS LIMITED,NI016353,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,47710,"{'address_line_1': 'C/O Grant Thornton (Ni) Llp', 'address_line_2': '12-15 Donegall Square West', 'locality': 'Belfast', 'postal_code': 'BT1 6JH'}"
1982-11-26,CARMEAN CHEMICALS LIMITED,NI016288,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': '99 Kingsway', 'address_line_2': 'Dunmurry', 'locality': 'Belfast', 'postal_code': 'BT17 9NU'}"
1982-11-26,CARMEAN CHEMICALS LIMITED,NI016288,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': '99 Kingsway', 'address_line_2': 'Dunmurry', 'locality': 'Belfast', 'postal_code': 'BT17 9NU'}"
1982-09-12,WHITEHEAD PROPERTIES LTD,NI016095,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,41100 | 41202,"{'address_line_1': '17 Clarendon Road', 'address_line_2': 'Clarendon Dock', 'locality': 'Belfast', 'postal_code': 'BT1 3BG', 'region': 'Antrim'}"
1982-09-12,WHITEHEAD PROPERTIES LTD,NI016095,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,41100 | 41202,"{'address_line_1': '17 Clarendon Road', 'address_line_2': 'Clarendon Dock', 'locality': 'Belfast', 'postal_code': 'BT1 3BG', 'region': 'Antrim'}"
1982-01-08,PANORAMA DISTRIBUTION  CO. LIMITED,NI015327,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': 'Unit 12/15 38 Montgomery Road', 'locality': 'Belfast', 'postal_code': 'BT6 9HN'}"
1982-01-08,PANORAMA DISTRIBUTION  CO. LIMITED,NI015327,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': 'Unit 12/15 38 Montgomery Road', 'locality': 'Belfast', 'postal_code': 'BT6 9HN'}"
1980-09-12,TP BELFAST LIMITED,NI014502,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': 'Bedford House', 'address_line_2': '16 Bedford Street', 'locality': 'Belfast', 'postal_code': 'BT2 7DT'}"
1980-09-12,TP BELFAST LIMITED,NI014502,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': 'Bedford House', 'address_line_2': '16 Bedford Street', 'locality': 'Belfast', 'postal_code': 'BT2 7DT'}"
1979-04-24,MATBRO (NI) LIMITED,NI013550,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,99999,"{'address_line_1': 'Coalisland Road', 'address_line_2': 'Dungannon', 'locality': 'County Tyrone', 'postal_code': 'BT71 4DR', 'country': 'Northern Ireland'}"
1979-04-24,MATBRO (NI) LIMITED,NI013550,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,99999,"{'address_line_1': 'Coalisland Road', 'address_line_2': 'Dungannon', 'locality': 'County Tyrone', 'postal_code': 'BT71 4DR', 'country': 'Northern Ireland'}"
1978-10-04,MACQUIP LIMITED,NI013077,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,46610,"{'address_line_1': '16,Ballycraigy Road', 'address_line_2': 'Antrim', 'postal_code': 'BT41 1PL'}"
1978-10-04,MACQUIP LIMITED,NI013077,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,46610,"{'address_line_1': '16,Ballycraigy Road', 'address_line_2': 'Antrim', 'postal_code': 'BT41 1PL'}"
1978-08-04,J.H. GASS CYCLES LIMITED,NI012949,dissolved,Wincham – Greenfield Farm,CW12 4TR,ltd,47789,"{'address_line_1': 'Gordon Street Mews', 'address_line_2': '27/29  Gordon Street', 'locality': 'Belfast', 'postal_code': 'BT1 2LG'}"
1978-08-04,J.H. GASS CYCLES LIMITED,NI012949,dissolved,Adrem – Albert Chambers,CW12 4AA,ltd,47789,"{'address_line_1': 'Gordon Street Mews', 'address_line_2': '27/29  Gordon Street', 'locality': 'Belfast', 'postal_code': 'BT1 2LG'}"
